route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4486_88180,341,4492_3206,Ballycullen Road,13912,0,4492_7778195_1015011,4492_92
4486_88180,342,4492_3207,Ballycullen Road,19432,0,4492_7778195_1015006,4492_93
4486_88180,340,4492_3208,Ballycullen Road,7027,0,4492_7778195_1015002,4492_92
4486_88180,342,4492_3209,Ballycullen Road,19423,0,4492_7778195_1015009,4492_92
4486_88252,341,4492_321,Shanard Road,9092,1,4492_7778195_9001002,4492_4
4486_88180,341,4492_3210,Ballycullen Road,9426,0,4492_7778195_9015002,4492_93
4486_88180,340,4492_3211,Ballycullen Road,7120,0,4492_7778195_1015021,4492_94
4486_88180,340,4492_3212,Ballycullen Road,1309,0,4492_7778195_9015012,4492_92
4486_88180,341,4492_3213,Ballycullen Road,14111,0,4492_7778195_1015005,4492_92
4486_88180,342,4492_3214,Ballycullen Road,15895,0,4492_7778195_9015006,4492_93
4486_88180,340,4492_3215,Ballycullen Road,6775,0,4492_7778195_1015009,4492_92
4486_88180,340,4492_3216,Ballycullen Road,1374,0,4492_7778195_9015015,4492_92
4486_88180,341,4492_3217,Ballycullen Road,9450,0,4492_7778195_9015010,4492_93
4486_88180,342,4492_3218,Ballycullen Road,15889,0,4492_7778195_9015007,4492_94
4486_88180,340,4492_3219,Ballycullen Road,1262,0,4492_7778195_9015001,4492_92
4486_88252,340,4492_322,Shanard Road,1137,1,4492_7778195_9001014,4492_5
4486_88180,342,4492_3220,Ballycullen Road,19339,0,4492_7778195_1015005,4492_92
4486_88180,341,4492_3221,Ballycullen Road,9409,0,4492_7778195_9015008,4492_93
4486_88180,340,4492_3222,Ballycullen Road,1327,0,4492_7778195_9015007,4492_92
4486_88180,340,4492_3223,Ballycullen Road,7060,0,4492_7778195_1015004,4492_92
4486_88180,341,4492_3224,Ballycullen Road,14147,0,4492_7778195_1015012,4492_93
