route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4486_88180,342,4492_3519,Clongriffin,19360,1,4492_7778195_1015013,4492_98
4492_88176,340,4492_352,Sandyford B.D.,6821,0,4492_7778195_1011010,4492_7
4486_88180,340,4492_3520,Clongriffin,7061,1,4492_7778195_1015004,4492_96
4486_88180,341,4492_3521,Clongriffin,14148,1,4492_7778195_1015012,4492_97
4486_88180,342,4492_3522,Clongriffin,15928,1,4492_7778195_9015008,4492_98
4486_88180,342,4492_3523,Clongriffin,19265,1,4492_7778195_1015008,4492_96
4486_88180,340,4492_3524,Clongriffin,7045,1,4492_7778195_1015005,4492_97
4486_88180,341,4492_3525,Clongriffin,9434,1,4492_7778195_9015005,4492_98
4486_88180,342,4492_3526,Clongriffin,19477,1,4492_7778195_1015007,4492_96
4486_88180,341,4492_3527,Clongriffin,9416,1,4492_7778195_9015007,4492_97
4486_88180,340,4492_3528,Clongriffin,1373,1,4492_7778195_9015010,4492_98
4486_88180,342,4492_3529,Clongriffin,19510,1,4492_7778195_1015012,4492_96
4492_88176,341,4492_353,Sandyford B.D.,14171,0,4492_7778195_1011001,4492_7
4486_88180,341,4492_3530,Clongriffin,14087,1,4492_7778195_1015004,4492_97
4486_88180,340,4492_3531,Clongriffin,7082,1,4492_7778195_1015011,4492_98
4486_88180,340,4492_3532,Clongriffin,7124,1,4492_7778195_1015022,4492_96
4486_88180,342,4492_3533,Clongriffin,19459,1,4492_7778195_1015002,4492_97
4486_88180,341,4492_3534,Clongriffin,14154,1,4492_7778195_1015014,4492_98
4486_88180,341,4492_3535,Clongriffin,14077,1,4492_7778195_1015010,4492_96
4486_88180,340,4492_3536,Clongriffin,7088,1,4492_7778195_1015018,4492_97
4486_88180,342,4492_3537,Clongriffin,19447,1,4492_7778195_1015003,4492_98
4486_88180,340,4492_3538,Clongriffin,7051,1,4492_7778195_1015020,4492_96
4486_88180,341,4492_3539,Clongriffin,9438,1,4492_7778195_9015009,4492_97
4492_88176,340,4492_354,Sandyford B.D.,7000,0,4492_7778195_1011011,4492_7
4486_88180,342,4492_3540,Clongriffin,15887,1,4492_7778195_9015001,4492_98
4486_88180,341,4492_3541,Clongriffin,14100,1,4492_7778195_1015001,4492_96
4486_88180,340,4492_3542,Clongriffin,7073,1,4492_7778195_1015015,4492_97
4486_88180,342,4492_3543,Clongriffin,19435,1,4492_7778195_1015006,4492_98
